Statistical profiling result from autocannon_con_log.log, (5123 ticks, 82 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^clearBuffer node:internal/streams/writable:529:21
      1    0.0%    0.0%  Function: ^_unrefTimer node:net:417:52
      1    0.0%    0.0%  Function: ^_getMaxListeners node:events:403:26
      1    0.0%    0.0%  Function: ^_flushOutput node:_http_outgoing:951:63
      1    0.0%    0.0%  Function: ^_copy node:buffer:201:15
      1    0.0%    0.0%  Function: ^_addListener node:events:554:22
      1    0.0%    0.0%  Function: ^_addHeaderLine node:_http_incoming:337:24
      1    0.0%    0.0%  Function: ^Writable.uncork node:internal/streams/writable:341:37
      1    0.0%    0.0%  Function: ^Transform._read /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston/node_modules/readable-stream/lib/_stream_transform.js:171:38
      1    0.0%    0.0%  Function: ^Timeout.refresh node:internal/timers:210:37
      1    0.0%    0.0%  Function: ^Session /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express-session/session/session.js:24:17
      1    0.0%    0.0%  Function: ^Readable.push node:internal/streams/readable:227:35
      1    0.0%    0.0%  Function: ^ObjectId /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/objectid.js:24:22
      1    0.0%    0.0%  Function: ^Module.require node:internal/modules/cjs/loader:997:36
      1    0.0%    0.0%  Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1    0.0%    0.0%  Function: ^Long.isLong /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/long.js:236:28
      1    0.0%    0.0%  Function: ^Long.compare /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/long.js:291:39
      1    0.0%    0.0%  Function: ^FastBuffer node:internal/buffer:958:14
      1    0.0%    0.0%  Function: ^DerivedLogger.<computed> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston/lib/winston/create-logger.js:71:47
      1    0.0%    0.0%  Function: ^ConnectionCheckedInEvent /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection_pool_events.js:128:16
      1    0.0%    0.0%  Function: ^CommandOperation /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/command.js:14:16
      1    0.0%    0.0%  Function: ^Binary /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/binary.js:42:20
      1    0.0%    0.0%  Function: ^BinMsg /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/commands.js:394:16
      1    0.0%    0.0%  Function: ^AbstractOperation /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/operation.js:25:16
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/validators:84:3
      1    0.0%    0.0%  Function: ^<anonymous> node:_http_outgoing:564:45
      1    0.0%    0.0%  Function: ^<anonymous> :1:20
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server.js:42:35
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server.js:204:42
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/execute_operation.js:69:70
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection_pool.js:293:27
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/logform/json.js:26:25
      1    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express-session/index.js:220:28

 [C++]:
   ticks  total  nonlib   name
   2468   48.2%   53.4%  t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
    564   11.0%   12.2%  T _posix_spawnattr_setflags
    216    4.2%    4.7%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
    147    2.9%    3.2%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
    137    2.7%    3.0%  T _sigprocmask
     79    1.5%    1.7%  T _mach_timebase_info_trap
     73    1.4%    1.6%  T __kernelrpc_mach_port_move_member_trap
     66    1.3%    1.4%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
     63    1.2%    1.4%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     56    1.1%    1.2%  T _mach_port_insert_member
     45    0.9%    1.0%  T _semaphore_destroy
     22    0.4%    0.5%  t node::fs::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
     22    0.4%    0.5%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     20    0.4%    0.4%  T _mach_msg_overwrite_trap
     16    0.3%    0.3%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
     15    0.3%    0.3%  t ___pfz_setup
     13    0.3%    0.3%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
     12    0.2%    0.3%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
     12    0.2%    0.3%  T _task_get_exception_ports
     11    0.2%    0.2%  T node::fs::Close(v8::FunctionCallbackInfo<v8::Value> const&)
     10    0.2%    0.2%  T _mach_port_extract_member
     10    0.2%    0.2%  T ___bsdthread_terminate
      9    0.2%    0.2%  T _mach_port_insert_right
      7    0.1%    0.2%  T _host_get_special_port
      7    0.1%    0.2%  T __kernelrpc_mach_port_get_refs
      5    0.1%    0.1%  T ___libplatform_init
      4    0.1%    0.1%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  t __os_once_gate_wait
      4    0.1%    0.1%  t __os_nospin_lock_lock_slow
      3    0.1%    0.1%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)2>(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.1%  t __os_nospin_lock_unlock_slow
      3    0.1%    0.1%  T node::fs::NewFSReqCallback(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.1%  T _task_set_special_port
      3    0.1%    0.1%  T _os_unfair_recursive_lock_lock_with_options
      3    0.1%    0.1%  T _connect$NOCANCEL
      2    0.0%    0.0%  t void std::__1::__tree_balance_after_insert<std::__1::__tree_node_base<void*>*>(std::__1::__tree_node_base<void*>*, std::__1::__tree_node_base<void*>*)
      2    0.0%    0.0%  t node::EnvGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  T node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  T _task_restartable_ranges_register
      2    0.0%    0.0%  T _mmap
      1    0.0%    0.0%  t std::__1::vector<unsigned long, std::__1::allocator<unsigned long> >::__append(unsigned long)
      1    0.0%    0.0%  t std::__1::deque<unsigned long, std::__1::allocator<unsigned long> >::__add_back_capacity()
      1    0.0%    0.0%  t std::__1::__hash_table<unsigned long long, std::__1::hash<unsigned long long>, std::__1::equal_to<unsigned long long>, std::__1::allocator<unsigned long long> >::__rehash(unsigned long)
