Statistical profiling result from artillery_con_log.log, (5014 ticks, 59 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     85    1.7%    1.8%  T __kernelrpc_mach_port_move_member_trap
     65    1.3%    1.4%  T _mach_timebase_info_trap
     63    1.3%    1.4%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     52    1.0%    1.1%  T _semaphore_destroy
     36    0.7%    0.8%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
     22    0.4%    0.5%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
     15    0.3%    0.3%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
     15    0.3%    0.3%  t node::fs::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
     13    0.3%    0.3%  t __os_nospin_lock_unlock_slow
     13    0.3%    0.3%  T _task_get_exception_ports
     12    0.2%    0.3%  t ___pfz_setup
     12    0.2%    0.3%  T ___bsdthread_terminate
     11    0.2%    0.2%  T _mach_port_insert_right
     10    0.2%    0.2%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      8    0.2%    0.2%  T _mach_msg_overwrite_trap
      7    0.1%    0.2%  T __kernelrpc_mach_port_get_refs
      6    0.1%    0.1%  T node::fs::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.1%    0.1%  T _os_unfair_recursive_lock_lock_with_options
      5    0.1%    0.1%  t node::EnvGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      5    0.1%    0.1%  T node::fs::NewFSReqCallback(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  t __os_nospin_lock_lock_slow
      4    0.1%    0.1%  T _mach_port_extract_member
